iter	RMSE
0	0.8794872027
1	0.8433942686
2	0.8105493046
3	0.7800945221
4	0.7502949524
5	0.7214173828
6	0.6948572094
7	0.6694809594
8	0.6448488369
9	0.6219618498
10	0.599745184
11	0.5789110506
12	0.5594890406
13	0.5430133295
14	0.5253556602
15	0.5088087274
16	0.4936197855
17	0.4800066768
18	0.467080177
19	0.4551897605
20	0.443012732
21	0.4324190273
22	0.4219313338
23	0.4124514888
24	0.4028796237
25	0.3953294668
26	0.3872987299
27	0.380882267
28	0.3743715586
29	0.3678191565
30	0.3619970359
31	0.3564010158
32	0.3513217561
33	0.3461069765
34	0.341169776
35	0.3371078694
36	0.3339606944
37	0.3302832206
38	0.3271184678
39	0.3241044353
40	0.3214163996
41	0.3184985859
42	0.3162637309
43	0.3142864254
44	0.3119049941
45	0.3098880808
46	0.3082833319
47	0.3064668822
48	0.3049511882
49	0.303780095
50	0.3024548247
51	0.3009967723
52	0.2996086302
53	0.2983383688
54	0.2971366209
55	0.2961239241
56	0.2951888594
57	0.2941795579
58	0.2933257453
59	0.2924335847
60	0.2917686938
61	0.2911916194
62	0.2906463879
63	0.2901716734
64	0.2896595264
65	0.2892179383
66	0.2887108567
67	0.2881416228
68	0.2875604195
69	0.2871627063
70	0.28675219
71	0.286505718
72	0.2861135188
73	0.2856066867
74	0.2853233908
75	0.2849555942
76	0.2846361579
77	0.2842884303
78	0.2841415442
79	0.2839175666
80	0.2836313038
81	0.2833645769
82	0.2831053435
83	0.2828827949
84	0.282654393
85	0.2824209018
86	0.2821740651
87	0.2821176857
88	0.2819849731
89	0.2819072742
90	0.2817010228
91	0.2815327743
92	0.2813434736
93	0.2812793219
94	0.2811603771
95	0.2809117863
96	0.2808421572
97	0.2805656863
98	0.2803678779
99	0.2802196002
100	0.2800621212
101	0.2799459476
102	0.2798092033
103	0.2796818282
104	0.2795267563
105	0.2794616569
106	0.2792953438
107	0.2791510574
108	0.2790349046
109	0.2789507799
110	0.2788626201
111	0.2787930943
112	0.2785962703
113	0.2784305504
114	0.2782919138
115	0.2781697885
116	0.2780362497
117	0.2779181903
118	0.2778056341
119	0.2777408962
120	0.277625245
121	0.2775348477
122	0.277403205
123	0.2772588221
124	0.2771634864
125	0.2770279144
126	0.276882944
127	0.2767147617
128	0.2766059366
129	0.2765020952
130	0.2763940094
131	0.2763550188
132	0.2762404311
133	0.2761253941
134	0.2760496237
135	0.2759715224
136	0.275905459
137	0.2757772176
138	0.275672851
139	0.2755424559
140	0.2754856183
141	0.2753702763
142	0.2752364563
143	0.2751213728
144	0.2750444707
145	0.2750188399
146	0.2749423923
147	0.2748215805
148	0.2746928269
149	0.2745891
150	0.2745524452
151	0.274449952
152	0.2743557995
153	0.2741689704
154	0.2740757589
155	0.273896896
156	0.2737976082
157	0.2737174194
158	0.2737174143
159	0.2736162134
160	0.2735168492
161	0.273429361
162	0.2733451515
163	0.273158686
164	0.2730613182
165	0.2729987836
166	0.2729267609
167	0.2727723161
168	0.2726668066
169	0.2725363561
170	0.272387685
171	0.2723333252
172	0.2722366277
173	0.2721994475
174	0.2721108218
175	0.2720588909
176	0.2719420759
177	0.271782342
178	0.2717134338
179	0.2715462121
180	0.2713952568
181	0.271259421
182	0.2711765762
183	0.2710953614
184	0.2710155176
185	0.2709302519
186	0.2707847844
187	0.2707100952
188	0.270622186
189	0.2704662697
190	0.2703906507
191	0.2703340901
192	0.2702249525
193	0.2701736212
194	0.2700966553
195	0.2699850651
196	0.2699069889
197	0.269851517
198	0.269752678
199	0.2696231704
200	0.2695526766
201	0.2693974231
202	0.2693081545
203	0.2692373476
204	0.2691185627
205	0.269053527
206	0.2689882096
207	0.2689261352
208	0.2688551901
209	0.2688070418
210	0.2686689662
211	0.2686332227
212	0.2685431611
213	0.2684941873
214	0.2684156009
215	0.2683286715
216	0.2682165005
217	0.2681478297
218	0.2680345792
219	0.2679780781
220	0.2678652171
221	0.2678193733
222	0.2677599822
223	0.2677164217
224	0.2675935145
225	0.2674974159
226	0.2673931033
227	0.2672889785
228	0.2672323912
229	0.267146892
230	0.2670596249
231	0.2669635214
232	0.2669219878
233	0.2668820584
234	0.2668435973
235	0.2667948182
236	0.266755259
237	0.2667134977
238	0.2666143002
239	0.2665259361
240	0.266433485
241	0.2663690395
242	0.2663056678
243	0.2662507204
