iter	RMSE
244	0.2661995287
245	0.2661242989
246	0.2660594236
247	0.265963731
248	0.265929345
249	0.2658713525
250	0.2658427776
251	0.2657902826
252	0.2657289885
253	0.265683765
254	0.2656231861
255	0.2655534967
256	0.2654955124
257	0.265431009
258	0.2653536685
259	0.2653064382
260	0.265226276
261	0.2651843741
262	0.2650897652
263	0.2650494595
264	0.2649754279
265	0.2649071725
266	0.2648561759
267	0.2647844019
268	0.2647498253
269	0.2647169659
270	0.2646590417
271	0.2646178494
272	0.2645823064
273	0.2645133702
274	0.2644668314
275	0.2644291374
276	0.2643766041
277	0.2643152939
278	0.264273781
279	0.2642238398
280	0.2641954783
281	0.2641352271
282	0.2640652348
283	0.263981777
284	0.2639548517
285	0.2638496045
286	0.2637775108
287	0.2637355736
288	0.2636459414
289	0.2635913494
290	0.2635488321
291	0.2635216774
292	0.2634972181
293	0.2634263441
294	0.2633701252
295	0.2633118245
296	0.2632391364
297	0.2631942916
298	0.2631142892
299	0.2630539455
300	0.2630185249
301	0.2629782226
302	0.2629165615
303	0.2628648694
304	0.2628014209
305	0.262745866
306	0.2627093808
307	0.262655921
308	0.2626245609
309	0.2625411657
310	0.2625038674
311	0.2624725729
312	0.2624140841
313	0.2623650049
314	0.2623077744
315	0.2622737658
316	0.2622260019
317	0.2621726641
318	0.2621210584
319	0.2620735689
320	0.2620244054
321	0.2619912833
322	0.2619188037
323	0.261898028
324	0.2618385666
325	0.2618012681
326	0.2617518303
327	0.2616684784
328	0.2616244187
329	0.2615591905
330	0.261505411
331	0.2614772112
332	0.2614280704
333	0.2613526385
334	0.2612888996
335	0.2612737785
336	0.261234687
337	0.2612068296
338	0.2611472469
339	0.2611282312
340	0.2610930875
341	0.2610503169
342	0.2610321434
343	0.2609511751
344	0.2609320165
345	0.2608603684
346	0.260838401
347	0.2607978769
348	0.2607552838
349	0.2607234094
350	0.2606793135
351	0.2606529289
352	0.2606139116
353	0.2605890105
354	0.2605609498
355	0.2605218922
356	0.2605054056
357	0.2604897136
358	0.2604270065
359	0.26038891
360	0.2603382373
361	0.2602868302
362	0.2602433845
363	0.2602153956
364	0.2601820134
365	0.2601177784
366	0.2600643408
367	0.2600315577
368	0.2599819495
369	0.2599427503
370	0.2599115514
371	0.2598813739
372	0.2598567393
373	0.2598403833
374	0.2597963972
375	0.2597592077
376	0.2597482317
377	0.2597185404
378	0.2597006488
379	0.259655233
380	0.2596160357
381	0.259603619
382	0.2595713901
383	0.259546412
384	0.2595130776
385	0.2594621606
386	0.2594176973
387	0.2593917646
388	0.2593756936
389	0.259337529
390	0.2592960984
391	0.2592666082
392	0.2592388769
393	0.2592086599
394	0.2591613199
395	0.2591245688
396	0.2590866653
397	0.2590736381
398	0.259035599
399	0.2589809713
400	0.2589685484
401	0.2588989044
402	0.2588600373
403	0.2588343182
404	0.258794342
405	0.2587580614
406	0.258746816
407	0.2586800895
408	0.2586411273
409	0.2586270646
410	0.2585908856
411	0.2585731916
412	0.2585373689
413	0.2584732097
414	0.2584418231
415	0.2583832332
416	0.2583745696
417	0.2583675014
418	0.2583403649
419	0.2582964232
420	0.2582840241
421	0.2582635061
422	0.2582330417
423	0.2582116695
424	0.2581837583
425	0.2581471751
426	0.2581277091
427	0.2580840648
428	0.2580158225
429	0.2579754373
430	0.2579485555
431	0.2579062174
432	0.2578762958
433	0.2578249566
434	0.2577948047
435	0.2577432365
436	0.2577133779
437	0.2576952047
438	0.2576727661
439	0.2576247134
440	0.2575733902
441	0.2575429515
442	0.2575223116
443	0.257493418
444	0.2574592296
445	0.2574064242
446	0.2573909482
447	0.2573576678
448	0.257315955
449	0.257287337
450	0.2572602547
451	0.2572220299
452	0.257189464
453	0.2571876831
454	0.2571647471
455	0.2571352188
456	0.257114639
457	0.257092121
458	0.2570306181
459	0.2569963203
460	0.2569774579
461	0.2569678491
462	0.2569312726
463	0.2569040873
464	0.2568794423
465	0.2568455076
466	0.256798947
467	0.2567729649
468	0.2567504901
469	0.2567304352
470	0.2567143469
471	0.2566832198
472	0.256656125
473	0.256617884
474	0.2565973577
475	0.2565830638
476	0.2565676596
477	0.2565537526
478	0.2565230651
479	0.256497047
480	0.2564846241
481	0.2564513723
482	0.2564071494
483	0.2563608335
484	0.256343416
485	0.2563174621
486	0.2563029009
487	0.2562599731
488	0.2562362919
489	0.2562047128
490	0.2561791998
491	0.2561549625
492	0.2561387432
493	0.2561262991
494	0.2561162557
495	0.256101011
496	0.256058995
497	0.2560321149
498	0.2560162176
499	0.2559974652
